kind,scope,name,numeric_value,text_value
metric,"round_36",skipped_boundary_edges,0,
metric,"round_36",rejected_conflicts,195,
metric,"round_36",repartitioned,1,
metric,"round_37",interior_edge_fraction,0.969778,
metric,"round_37",boundary_edge_fraction,0.0302215,
metric,"round_37",partition_load_imbalance,12.6486,
metric,"round_37",local_queue_size,140646,
metric,"round_37",boundary_queue_size,4383,
metric,"round_37",accepted_local_collapses,512,
metric,"round_37",accepted_boundary_collapses,128,
metric,"round_37",skipped_boundary_edges,0,
metric,"round_37",rejected_conflicts,179,
metric,"round_37",repartitioned,1,
metric,"round_38",interior_edge_fraction,0.970009,
metric,"round_38",boundary_edge_fraction,0.0299911,
metric,"round_38",partition_load_imbalance,13.359,
metric,"round_38",local_queue_size,138817,
metric,"round_38",boundary_queue_size,4292,
metric,"round_38",accepted_local_collapses,512,
metric,"round_38",accepted_boundary_collapses,128,
metric,"round_38",skipped_boundary_edges,0,
metric,"round_38",rejected_conflicts,182,
metric,"round_38",repartitioned,1,
metric,"round_39",interior_edge_fraction,0.970295,
metric,"round_39",boundary_edge_fraction,0.0297049,
metric,"round_39",partition_load_imbalance,14.1511,
metric,"round_39",local_queue_size,136995,
metric,"round_39",boundary_queue_size,4194,
metric,"round_39",accepted_local_collapses,512,
metric,"round_39",accepted_boundary_collapses,128,
metric,"round_39",skipped_boundary_edges,0,
metric,"round_39",rejected_conflicts,185,
metric,"round_39",repartitioned,1,
metric,"round_40",interior_edge_fraction,0.970711,
metric,"round_40",boundary_edge_fraction,0.0292886,
metric,"round_40",partition_load_imbalance,15.0252,
metric,"round_40",local_queue_size,135190,
metric,"round_40",boundary_queue_size,4079,
metric,"round_40",accepted_local_collapses,512,
metric,"round_40",accepted_boundary_collapses,128,
metric,"round_40",skipped_boundary_edges,0,
metric,"round_40",rejected_conflicts,194,
metric,"round_40",repartitioned,1,
metric,"round_41",interior_edge_fraction,0.970943,
metric,"round_41",boundary_edge_fraction,0.0290574,
metric,"round_41",partition_load_imbalance,16.0337,
metric,"round_41",local_queue_size,133358,
metric,"round_41",boundary_queue_size,3991,
metric,"round_41",accepted_local_collapses,512,
metric,"round_41",accepted_boundary_collapses,128,
metric,"round_41",skipped_boundary_edges,0,
metric,"round_41",rejected_conflicts,191,
metric,"round_41",repartitioned,1,
metric,"round_42",interior_edge_fraction,0.971343,
metric,"round_42",boundary_edge_fraction,0.0286571,
metric,"round_42",partition_load_imbalance,17.1859,
metric,"round_42",local_queue_size,131548,
metric,"round_42",boundary_queue_size,3881,
metric,"round_42",accepted_local_collapses,512,
metric,"round_42",accepted_boundary_collapses,128,
metric,"round_42",skipped_boundary_edges,0,
metric,"round_42",rejected_conflicts,212,
metric,"round_42",repartitioned,1,
metric,"round_43",interior_edge_fraction,0.971612,
metric,"round_43",boundary_edge_fraction,0.0283876,
metric,"round_43",partition_load_imbalance,18.5497,
metric,"round_43",local_queue_size,129719,
metric,"round_43",boundary_queue_size,3790,
metric,"round_43",accepted_local_collapses,512,
metric,"round_43",accepted_boundary_collapses,128,
metric,"round_43",skipped_boundary_edges,0,
metric,"round_43",rejected_conflicts,214,
metric,"round_43",repartitioned,1,
metric,"round_44",interior_edge_fraction,0.971761,
metric,"round_44",boundary_edge_fraction,0.0282394,
metric,"round_44",partition_load_imbalance,20.1697,
metric,"round_44",local_queue_size,127873,
metric,"round_44",boundary_queue_size,3716,
metric,"round_44",accepted_local_collapses,512,
metric,"round_44",accepted_boundary_collapses,128,
metric,"round_44",skipped_boundary_edges,0,
metric,"round_44",rejected_conflicts,226,
metric,"round_44",repartitioned,1,
metric,"round_45",interior_edge_fraction,0.971774,
metric,"round_45",boundary_edge_fraction,0.0282257,
metric,"round_45",partition_load_imbalance,22.2823,
metric,"round_45",local_queue_size,126009,
metric,"round_45",boundary_queue_size,3660,
metric,"round_45",accepted_local_collapses,512,
metric,"round_45",accepted_boundary_collapses,128,
metric,"round_45",skipped_boundary_edges,0,
metric,"round_45",rejected_conflicts,247,
metric,"round_45",repartitioned,1,
